Farmer_ID,State,Land_Size,Income_Level,Crop,Irrigation,Soil_Type,Farmer_Type,Loan_Status,Weather_Risk,Farm_Experience,Recommended_Scheme
4656,UP,Medium,Medium,Wheat,No,Loamy,Medium,No,High,High,PMFBY
4657,UP,Large,Low,Rice,Yes,Clay,Marginal,Yes,High,Low,KCC
4658,MP,Medium,Low,Wheat,Yes,Clay,Medium,Yes,Low,High,PM-Kisan
4659,MP,Large,Medium,Cotton,No,Sandy,Marginal,Yes,Low,High,PMFBY
4660,MP,Small,High,Cotton,Yes,Clay,Large,No,High,Low,Farm Mechanization
4661,Punjab,Small,High,Rice,No,Loamy,Medium,Yes,High,High,PMFBY
4662,Bihar,Medium,High,Cotton,Yes,Black,Small,Yes,Medium,Low,Subsidy Scheme
4663,Bihar,Small,High,Cotton,Yes,Sandy,Marginal,Yes,High,Low,KCC
4664,MH,Large,Medium,Rice,Yes,Loamy,Medium,No,High,Medium,Soil Health Card
4665,UP,Small,High,Wheat,Yes,Black,Small,No,Medium,High,Organic Farming
4666,Bihar,Medium,Low,Wheat,No,Black,Medium,Yes,Low,High,PMFBY
4667,Punjab,Small,Low,Rice,No,Sandy,Small,Yes,Medium,Medium,PM-Kisan
4668,Punjab,Small,Low,Rice,No,Loamy,Small,Yes,Low,Low,PM-Kisan
4669,MP,Medium,Low,Rice,Yes,Clay,Medium,No,Low,Low,Farm Mechanization
4670,Punjab,Large,Low,Soybean,No,Clay,Large,No,Low,Medium,KCC
4671,MP,Large,High,Soybean,No,Sandy,Medium,No,High,High,Crop Insurance
4672,UP,Small,Low,Rice,No,Sandy,Medium,Yes,High,Medium,PM-Kisan
4673,Bihar,Large,High,Rice,No,Clay,Small,Yes,Low,Medium,PMFBY
4674,MP,Small,Medium,Cotton,No,Loamy,Marginal,No,Low,Medium,PMFBY
4675,Punjab,Medium,Medium,Soybean,Yes,Black,Small,Yes,Medium,High,KCC
4676,Punjab,Small,High,Rice,Yes,Sandy,Large,Yes,Medium,Medium,KCC
4677,MP,Small,Medium,Maize,Yes,Black,Large,Yes,Medium,Low,Subsidy Scheme
4678,UP,Small,High,Maize,No,Loamy,Small,No,Low,Low,PMFBY
4679,MH,Large,High,Wheat,No,Sandy,Small,No,High,High,PMFBY
4680,MH,Small,High,Maize,Yes,Sandy,Small,Yes,High,Low,KCC
4681,Bihar,Small,Medium,Cotton,No,Sandy,Marginal,Yes,Medium,Medium,PMFBY
4682,MP,Medium,Medium,Wheat,Yes,Loamy,Small,Yes,Low,Low,KCC
4683,MH,Small,Medium,Rice,Yes,Sandy,Marginal,Yes,Medium,High,KCC
4684,Bihar,Medium,Medium,Rice,Yes,Black,Small,No,Low,Low,Farmer Training
4685,Punjab,Small,Medium,Wheat,Yes,Loamy,Medium,No,Low,Low,Soil Health Card
4686,Punjab,Small,High,Wheat,Yes,Loamy,Large,Yes,Medium,Medium,Subsidy Scheme
4687,UP,Medium,Low,Rice,Yes,Clay,Large,No,Low,Low,Farm Mechanization
4688,Punjab,Small,High,Maize,No,Sandy,Marginal,Yes,High,Low,PMFBY
4689,UP,Small,Low,Rice,Yes,Black,Marginal,No,Medium,Low,PM-Kisan
4690,Bihar,Small,High,Rice,No,Loamy,Marginal,No,High,Low,PMFBY
4691,UP,Large,High,Rice,Yes,Clay,Medium,No,Medium,High,Farm Mechanization
4692,MP,Small,High,Cotton,No,Clay,Small,No,Medium,Medium,PMFBY
4693,UP,Small,Medium,Soybean,No,Clay,Small,No,Medium,Medium,PMFBY
4694,MH,Small,Low,Wheat,No,Loamy,Small,Yes,Medium,Low,PM-Kisan
4695,UP,Large,High,Cotton,Yes,Loamy,Small,Yes,High,High,KCC
4696,Punjab,Medium,High,Maize,Yes,Loamy,Small,Yes,Low,Medium,Subsidy Scheme
4697,Punjab,Large,Low,Wheat,No,Loamy,Large,No,Medium,Low,PMFBY
4698,Bihar,Medium,High,Cotton,Yes,Sandy,Large,No,Medium,High,Soil Health Card
4699,Bihar,Large,Medium,Soybean,Yes,Loamy,Marginal,Yes,Low,Low,KCC
4700,UP,Medium,Medium,Cotton,No,Loamy,Medium,No,Low,Low,PMFBY
4701,Bihar,Small,Low,Wheat,No,Black,Marginal,Yes,High,High,PM-Kisan
4702,UP,Small,High,Rice,No,Loamy,Large,No,Low,Low,PMFBY
4703,MH,Medium,High,Maize,No,Sandy,Large,No,High,Medium,PMFBY
4704,Punjab,Large,Low,Wheat,No,Clay,Marginal,No,Low,Low,Crop Insurance
4705,MH,Small,Low,Rice,Yes,Clay,Large,Yes,High,High,PM-Kisan
4706,MH,Medium,Low,Rice,Yes,Sandy,Medium,No,High,High,Soil Health Card
4707,Punjab,Small,Low,Maize,No,Black,Marginal,No,High,Medium,PM-Kisan
4708,MP,Small,High,Rice,Yes,Sandy,Small,Yes,Medium,High,KCC
4709,MH,Small,Medium,Cotton,Yes,Loamy,Small,No,Low,Medium,Soil Health Card
4710,UP,Large,Low,Rice,Yes,Black,Large,Yes,High,Low,KCC
4711,Bihar,Small,Low,Wheat,Yes,Black,Medium,Yes,Low,Low,PM-Kisan
4712,MH,Large,High,Rice,No,Sandy,Medium,Yes,Low,Medium,PMFBY
4713,Bihar,Medium,Low,Rice,Yes,Loamy,Large,Yes,Medium,Medium,KCC
4714,UP,Large,Low,Rice,Yes,Sandy,Medium,No,High,Low,Soil Health Card
4715,UP,Large,Medium,Cotton,Yes,Black,Marginal,No,High,Medium,PMFBY
4716,Punjab,Small,High,Cotton,No,Clay,Marginal,No,High,High,PMFBY
4717,UP,Small,Medium,Soybean,Yes,Clay,Large,Yes,High,Low,KCC
4718,MH,Large,Low,Soybean,Yes,Clay,Small,Yes,Low,High,KCC
4719,Bihar,Large,Low,Wheat,No,Loamy,Large,Yes,Medium,Medium,PMFBY
4720,UP,Medium,Medium,Cotton,No,Clay,Marginal,No,Low,Medium,PM-Kisan
4721,MH,Small,Medium,Wheat,No,Sandy,Small,Yes,Medium,High,PMFBY
4722,MP,Medium,Low,Maize,Yes,Loamy,Marginal,No,Low,Low,Organic Farming
4723,UP,Medium,High,Wheat,No,Clay,Small,Yes,Low,High,PMFBY
4724,MP,Medium,Low,Wheat,No,Black,Marginal,No,Medium,Medium,PMFBY
4725,MH,Medium,Low,Maize,No,Sandy,Medium,Yes,Medium,Low,PMFBY
4726,MH,Medium,High,Cotton,No,Sandy,Marginal,Yes,High,Low,PMFBY
4727,MP,Medium,Low,Soybean,Yes,Sandy,Small,No,Low,High,KCC
4728,UP,Large,Medium,Cotton,Yes,Clay,Marginal,Yes,Low,Medium,KCC
4729,UP,Small,Medium,Maize,Yes,Clay,Large,Yes,High,Low,KCC
4730,MP,Large,Low,Maize,No,Sandy,Small,No,High,Medium,PMFBY
4731,MH,Large,Low,Cotton,Yes,Loamy,Medium,No,High,Low,Soil Health Card
4732,MP,Medium,High,Wheat,No,Loamy,Large,No,Medium,Medium,PMFBY
4733,UP,Large,Low,Soybean,No,Sandy,Medium,Yes,Medium,Medium,PMFBY
4734,Bihar,Medium,High,Rice,Yes,Sandy,Small,Yes,High,Low,KCC
4735,UP,Medium,Low,Cotton,No,Black,Small,No,High,Medium,PMFBY
4736,Bihar,Large,Low,Wheat,No,Loamy,Large,No,High,Low,PMFBY
4737,UP,Medium,Medium,Soybean,No,Loamy,Small,Yes,Medium,High,PMFBY
4738,MH,Large,High,Soybean,No,Black,Large,No,High,Medium,PMFBY
4739,Bihar,Large,High,Cotton,No,Black,Medium,Yes,High,Low,Crop Insurance
4740,MP,Large,Medium,Cotton,No,Black,Marginal,No,Medium,Low,Crop Insurance
4741,MH,Small,Medium,Soybean,Yes,Clay,Marginal,No,Low,High,Irrigation Subsidy
4742,MH,Large,Medium,Rice,No,Black,Small,Yes,High,Medium,PMFBY
4743,MP,Large,High,Soybean,Yes,Clay,Large,No,High,High,Farm Mechanization
4744,Punjab,Small,Medium,Maize,No,Loamy,Marginal,No,High,High,Crop Insurance
4745,Punjab,Small,High,Soybean,Yes,Black,Marginal,No,Low,High,Organic Farming
4746,MP,Large,High,Cotton,No,Clay,Large,No,High,High,Crop Insurance
4747,MH,Medium,High,Soybean,Yes,Sandy,Marginal,Yes,Medium,High,Irrigation Subsidy
4748,UP,Large,Medium,Maize,No,Loamy,Large,Yes,High,Low,PMFBY
4749,MP,Large,Low,Soybean,Yes,Black,Marginal,No,Low,High,Subsidy Scheme
4750,MH,Small,High,Maize,Yes,Black,Medium,No,High,Medium,Farm Mechanization
4751,Bihar,Medium,Medium,Maize,Yes,Sandy,Medium,No,Low,High,Soil Health Card
4752,UP,Medium,High,Maize,Yes,Clay,Large,No,Low,Medium,Farm Mechanization
4753,MP,Medium,High,Soybean,Yes,Sandy,Marginal,No,High,High,Soil Health Card
4754,Punjab,Large,Medium,Rice,No,Sandy,Large,Yes,High,Medium,PMFBY
4755,Punjab,Medium,High,Soybean,Yes,Clay,Medium,No,Medium,High,Farm Mechanization
4756,MH,Small,Medium,Rice,No,Black,Small,Yes,High,High,PMFBY
4757,MH,Large,High,Maize,Yes,Loamy,Marginal,No,Low,High,Soil Health Card
4758,Punjab,Large,Low,Wheat,Yes,Clay,Marginal,No,Low,Medium,Subsidy Scheme
4759,Bihar,Medium,Low,Soybean,Yes,Sandy,Small,Yes,Medium,Medium,KCC
4760,UP,Large,Medium,Cotton,Yes,Clay,Medium,Yes,High,Low,KCC
4761,Bihar,Small,Medium,Rice,Yes,Clay,Marginal,Yes,Medium,High,KCC
4762,UP,Large,Low,Wheat,No,Sandy,Large,Yes,Low,Medium,PMFBY
4763,MH,Small,Low,Wheat,No,Sandy,Small,No,High,Low,PM-Kisan
4764,MP,Medium,High,Maize,Yes,Sandy,Medium,No,Low,Low,Soil Health Card
4765,Punjab,Medium,Medium,Wheat,No,Loamy,Marginal,Yes,High,Medium,PMFBY
4766,UP,Small,High,Maize,No,Clay,Medium,Yes,Low,High,Crop Insurance
4767,MH,Medium,Low,Soybean,No,Loamy,Small,No,Low,Medium,PMFBY
4768,Bihar,Small,Low,Rice,Yes,Clay,Small,No,Low,High,PM-Kisan
4769,Bihar,Large,High,Wheat,Yes,Sandy,Large,Yes,High,Medium,Crop Insurance
4770,MH,Medium,Low,Soybean,Yes,Sandy,Large,No,High,Low,Organic Farming
4771,MP,Medium,Low,Maize,Yes,Clay,Medium,No,High,Medium,Farm Mechanization
4772,MP,Medium,Low,Soybean,No,Black,Small,Yes,High,High,PMFBY
4773,UP,Large,High,Soybean,Yes,Black,Marginal,Yes,Low,Low,Subsidy Scheme
4774,MP,Large,High,Wheat,No,Clay,Small,Yes,Medium,High,PMFBY
4775,Punjab,Small,Medium,Wheat,No,Black,Medium,Yes,High,Medium,PMFBY
4776,MP,Small,Medium,Rice,No,Black,Medium,Yes,Low,High,PMFBY
4777,UP,Large,Medium,Maize,Yes,Clay,Small,Yes,High,Low,KCC
4778,MP,Large,Medium,Wheat,Yes,Loamy,Medium,No,Medium,High,Soil Health Card
4779,UP,Small,Low,Soybean,No,Sandy,Small,No,High,High,PM-Kisan
4780,Bihar,Large,High,Soybean,No,Black,Medium,No,High,Medium,PMFBY
4781,MP,Large,High,Rice,Yes,Loamy,Large,Yes,Low,Low,KCC
4782,Bihar,Medium,High,Rice,No,Black,Small,Yes,High,Medium,PMFBY
4783,MP,Medium,Low,Maize,No,Sandy,Marginal,Yes,High,High,PMFBY
4784,MH,Small,High,Cotton,No,Sandy,Small,No,Medium,Low,PMFBY
4785,MH,Medium,Low,Wheat,Yes,Clay,Marginal,No,High,High,Irrigation Subsidy
4786,Bihar,Small,Medium,Soybean,Yes,Clay,Small,No,Low,Low,Farmer Training
4787,UP,Medium,Low,Rice,Yes,Black,Large,No,High,Low,Irrigation Subsidy
4788,Bihar,Small,Medium,Soybean,No,Black,Marginal,No,Low,High,PMFBY
4789,MP,Large,Low,Soybean,No,Sandy,Marginal,Yes,Medium,Medium,Crop Insurance
4790,Bihar,Large,Medium,Maize,Yes,Clay,Marginal,No,Medium,High,Irrigation Subsidy
4791,Punjab,Large,Medium,Cotton,Yes,Sandy,Small,Yes,Low,High,KCC
4792,MH,Large,Medium,Wheat,Yes,Black,Medium,Yes,High,Low,KCC
4793,Punjab,Large,Medium,Cotton,No,Black,Marginal,No,Medium,High,PMFBY
4794,UP,Large,Medium,Wheat,No,Sandy,Large,No,High,Medium,PMFBY
4795,MH,Small,High,Wheat,No,Clay,Small,No,Medium,High,PMFBY
4796,Bihar,Medium,Low,Maize,Yes,Black,Large,No,Medium,Medium,Farm Mechanization
4797,MP,Medium,High,Rice,No,Black,Marginal,No,High,Medium,PMFBY
4798,MH,Large,High,Wheat,Yes,Sandy,Large,No,High,High,Soil Health Card
4799,Bihar,Medium,High,Wheat,Yes,Black,Medium,No,Medium,Low,Farm Mechanization
4800,Bihar,Medium,High,Maize,Yes,Sandy,Small,No,Low,Low,Soil Health Card
4801,Bihar,Large,High,Cotton,Yes,Loamy,Large,No,Medium,High,Organic Farming
4802,Bihar,Small,Medium,Cotton,No,Sandy,Medium,Yes,Medium,Low,PMFBY
4803,Bihar,Medium,Medium,Cotton,Yes,Loamy,Small,No,Low,Low,Soil Health Card
4804,MH,Small,High,Maize,No,Loamy,Medium,Yes,Medium,Low,PMFBY
4805,MP,Medium,Low,Soybean,No,Loamy,Marginal,Yes,Low,Medium,PM-Kisan
4806,MP,Small,Medium,Rice,No,Clay,Small,No,Medium,Medium,PMFBY
4807,Punjab,Medium,Low,Rice,No,Black,Small,Yes,Medium,Medium,PMFBY
4808,Bihar,Medium,Medium,Cotton,No,Sandy,Marginal,Yes,Low,Medium,PMFBY
4809,MH,Small,High,Maize,No,Sandy,Large,Yes,High,High,PMFBY
4810,Bihar,Small,High,Rice,Yes,Loamy,Marginal,Yes,Low,Medium,KCC
4811,MP,Medium,Medium,Rice,Yes,Black,Large,No,Low,Low,Farm Mechanization
4812,MP,Large,Low,Soybean,No,Loamy,Large,No,Low,Medium,PMFBY
4813,MH,Large,Medium,Maize,No,Loamy,Large,No,Low,Low,PMFBY
4814,UP,Medium,High,Rice,No,Sandy,Marginal,Yes,Low,Medium,Crop Insurance
4815,UP,Large,Medium,Soybean,No,Loamy,Small,No,Medium,Low,PMFBY
4816,Punjab,Large,Medium,Rice,Yes,Clay,Marginal,Yes,Low,Medium,KCC
4817,Bihar,Medium,High,Soybean,No,Black,Large,Yes,Medium,High,PMFBY
4818,UP,Medium,Medium,Wheat,No,Sandy,Small,No,Medium,Medium,Crop Insurance
4819,MP,Medium,Medium,Soybean,No,Black,Marginal,No,Medium,Low,PMFBY
4820,MP,Medium,High,Cotton,Yes,Loamy,Large,No,Medium,Low,Organic Farming
4821,Punjab,Small,Low,Wheat,Yes,Clay,Medium,No,Medium,Low,PM-Kisan
4822,UP,Medium,Medium,Wheat,Yes,Clay,Large,No,High,High,Irrigation Subsidy
4823,MP,Medium,Medium,Cotton,Yes,Sandy,Medium,No,Medium,High,Soil Health Card
4824,UP,Large,Medium,Rice,Yes,Clay,Large,Yes,Medium,High,KCC
4825,Punjab,Large,High,Rice,No,Loamy,Large,No,Low,High,Crop Insurance
4826,Bihar,Small,Medium,Soybean,Yes,Loamy,Small,No,Medium,Medium,Irrigation Subsidy
4827,Bihar,Large,High,Wheat,No,Black,Small,No,High,High,PMFBY
4828,MH,Medium,Low,Soybean,Yes,Clay,Medium,Yes,Medium,Low,Crop Insurance
4829,Punjab,Large,High,Rice,No,Loamy,Marginal,No,Medium,Low,PMFBY
4830,Bihar,Small,Low,Wheat,No,Loamy,Small,No,High,High,PM-Kisan
4831,MP,Small,Low,Rice,Yes,Clay,Medium,Yes,High,High,KCC
4832,Punjab,Large,Medium,Rice,Yes,Loamy,Large,No,High,High,Soil Health Card
4833,Punjab,Large,High,Cotton,Yes,Loamy,Marginal,No,Medium,High,Soil Health Card
4834,UP,Small,High,Rice,No,Loamy,Small,No,High,High,PMFBY
4835,MP,Large,Low,Maize,Yes,Loamy,Medium,Yes,Medium,Low,Organic Farming
4836,MH,Large,High,Cotton,Yes,Sandy,Large,No,High,Medium,Soil Health Card
4837,Bihar,Medium,High,Wheat,No,Clay,Small,Yes,High,High,Crop Insurance
4838,MH,Small,Low,Wheat,Yes,Loamy,Medium,No,Low,High,PM-Kisan
4839,UP,Large,High,Rice,No,Loamy,Large,No,High,High,Crop Insurance
4840,Punjab,Small,High,Rice,No,Loamy,Large,No,Low,Low,Crop Insurance
4841,MP,Large,High,Rice,Yes,Black,Medium,Yes,Low,Low,Subsidy Scheme
4842,Punjab,Small,Low,Rice,No,Loamy,Marginal,No,Low,High,PM-Kisan
4843,MP,Medium,Low,Cotton,Yes,Sandy,Marginal,Yes,Low,High,KCC
4844,MP,Small,Medium,Maize,Yes,Black,Small,No,High,Low,Crop Insurance
4845,Punjab,Large,High,Cotton,Yes,Sandy,Small,Yes,Medium,Low,KCC
4846,UP,Medium,High,Wheat,No,Loamy,Medium,No,High,High,PMFBY
4847,Punjab,Small,High,Wheat,No,Sandy,Large,No,Medium,Medium,Crop Insurance
4848,MH,Large,Medium,Soybean,No,Sandy,Marginal,Yes,Low,Low,PMFBY
4849,MH,Medium,Low,Soybean,No,Black,Large,No,Low,High,PMFBY
4850,Bihar,Small,Medium,Maize,Yes,Black,Marginal,No,Low,Medium,Irrigation Subsidy
4851,MP,Medium,Low,Wheat,No,Black,Large,No,Low,High,Crop Insurance
4852,MH,Small,Low,Maize,No,Sandy,Large,Yes,Low,Low,PM-Kisan
4853,MP,Medium,Medium,Soybean,Yes,Clay,Small,Yes,Medium,High,PMFBY
4854,MH,Small,High,Maize,No,Black,Large,No,Low,High,PMFBY
4855,MH,Small,High,Cotton,Yes,Sandy,Small,No,Medium,Low,Soil Health Card
4856,MH,Large,High,Soybean,Yes,Clay,Large,Yes,Low,High,KCC
4857,MH,Large,Medium,Cotton,No,Sandy,Small,Yes,Medium,High,PMFBY
4858,MH,Large,Medium,Maize,Yes,Sandy,Medium,Yes,Medium,Low,KCC
4859,UP,Large,Low,Soybean,No,Black,Marginal,No,Low,Low,PMFBY
4860,UP,Large,High,Soybean,No,Clay,Marginal,No,Low,Low,Crop Insurance
4861,UP,Medium,Low,Maize,Yes,Loamy,Marginal,Yes,High,High,KCC
4862,MP,Small,High,Cotton,Yes,Clay,Marginal,Yes,Low,Low,Subsidy Scheme
4863,UP,Large,High,Soybean,Yes,Loamy,Marginal,No,High,Medium,Farm Mechanization
4864,UP,Large,Medium,Soybean,No,Sandy,Marginal,No,Medium,Medium,PMFBY
4865,MP,Small,High,Rice,No,Loamy,Marginal,Yes,High,Medium,PMFBY
4866,MH,Medium,Low,Wheat,Yes,Clay,Large,No,High,High,Irrigation Subsidy
4867,Punjab,Large,High,Maize,No,Black,Large,Yes,High,High,PMFBY
4868,MH,Large,High,Cotton,Yes,Sandy,Large,Yes,Medium,Low,KCC
4869,MH,Medium,Low,Cotton,Yes,Clay,Medium,Yes,High,Low,KCC
4870,Bihar,Medium,Medium,Soybean,Yes,Sandy,Medium,Yes,High,Medium,KCC
4871,Punjab,Small,High,Rice,No,Clay,Medium,No,Medium,Low,PMFBY
4872,MP,Medium,Medium,Soybean,Yes,Black,Marginal,Yes,Medium,High,KCC
4873,MP,Large,High,Soybean,No,Black,Marginal,No,Low,Medium,PMFBY
4874,Bihar,Small,Low,Wheat,Yes,Clay,Small,No,High,High,Subsidy Scheme
4875,MH,Medium,Low,Rice,No,Black,Marginal,No,Medium,High,Crop Insurance
4876,MH,Medium,High,Cotton,Yes,Black,Marginal,Yes,High,High,KCC
4877,Bihar,Large,Medium,Rice,No,Clay,Small,No,High,Medium,PMFBY
4878,Punjab,Medium,High,Wheat,No,Loamy,Marginal,No,Low,Medium,Crop Insurance
4879,MP,Small,High,Rice,No,Sandy,Marginal,No,Medium,High,PMFBY
4880,Punjab,Large,Medium,Soybean,Yes,Sandy,Small,Yes,Low,High,KCC
4881,Punjab,Large,High,Wheat,Yes,Sandy,Medium,Yes,Low,Low,KCC
4882,MH,Medium,Medium,Wheat,No,Loamy,Marginal,Yes,Low,Low,PMFBY
4883,Punjab,Large,Low,Soybean,No,Black,Large,No,Low,Medium,PMFBY
4884,Punjab,Small,High,Rice,No,Loamy,Medium,Yes,Medium,Medium,PMFBY
4885,MH,Large,Medium,Cotton,Yes,Sandy,Large,No,Low,Low,Soil Health Card
4886,Bihar,Large,High,Wheat,No,Clay,Large,No,High,Medium,Crop Insurance
4887,Bihar,Medium,High,Wheat,No,Loamy,Small,No,Low,Low,PMFBY
4888,MH,Large,Medium,Wheat,Yes,Loamy,Large,Yes,High,Medium,Subsidy Scheme
4889,MH,Large,High,Cotton,No,Loamy,Medium,Yes,Low,Low,PMFBY
4890,MP,Medium,High,Cotton,No,Loamy,Medium,No,High,Medium,PMFBY
4891,Bihar,Large,High,Rice,No,Black,Large,No,Low,High,PMFBY
4892,MP,Small,Low,Rice,No,Loamy,Marginal,No,Low,Medium,Subsidy Scheme
4893,Bihar,Small,Low,Maize,Yes,Black,Medium,No,Medium,High,PM-Kisan
4894,Punjab,Medium,Medium,Cotton,Yes,Sandy,Medium,No,High,Low,Organic Farming
4895,MH,Small,Medium,Cotton,No,Black,Small,Yes,Medium,High,PMFBY
4896,Bihar,Medium,Low,Cotton,Yes,Black,Small,Yes,Medium,High,KCC
4897,Punjab,Small,Low,Soybean,No,Sandy,Large,Yes,Low,Medium,Subsidy Scheme
4898,Punjab,Medium,Low,Cotton,Yes,Black,Small,No,High,High,PMFBY
4899,UP,Large,Medium,Cotton,No,Clay,Small,Yes,High,Low,PMFBY
4900,UP,Small,High,Cotton,Yes,Clay,Large,No,High,High,Farm Mechanization
4901,MP,Small,Medium,Cotton,No,Clay,Medium,Yes,High,Low,PMFBY
4902,Punjab,Medium,Medium,Rice,Yes,Sandy,Marginal,Yes,High,High,Subsidy Scheme
4903,MH,Large,Medium,Cotton,No,Loamy,Small,No,High,Low,PMFBY
4904,Bihar,Medium,Medium,Soybean,No,Sandy,Medium,Yes,Medium,Medium,Irrigation Subsidy
4905,Punjab,Medium,Low,Wheat,Yes,Clay,Large,Yes,High,High,KCC
4906,MP,Medium,Low,Cotton,No,Loamy,Medium,Yes,Medium,Low,Crop Insurance
4907,MH,Medium,High,Rice,No,Loamy,Medium,Yes,Low,Low,PMFBY
4908,UP,Small,High,Wheat,Yes,Clay,Small,No,Low,High,Organic Farming
4909,UP,Medium,Medium,Rice,Yes,Clay,Small,Yes,Medium,High,Subsidy Scheme
4910,UP,Large,Low,Soybean,Yes,Clay,Marginal,No,High,Medium,Crop Insurance
4911,UP,Large,High,Wheat,Yes,Clay,Marginal,Yes,Low,Medium,KCC
4912,Punjab,Medium,Medium,Cotton,No,Sandy,Marginal,Yes,Medium,High,PMFBY
4913,Punjab,Medium,High,Wheat,Yes,Black,Marginal,Yes,High,Medium,KCC
4914,Punjab,Large,High,Rice,No,Sandy,Large,No,High,Low,PMFBY
4915,UP,Medium,Low,Rice,Yes,Loamy,Large,No,Low,Low,Soil Health Card
4916,UP,Small,Low,Maize,Yes,Clay,Large,No,High,Medium,PM-Kisan
4917,UP,Large,High,Soybean,Yes,Loamy,Medium,No,Low,Low,Organic Farming
4918,MP,Large,Medium,Rice,No,Sandy,Large,No,Low,Medium,Crop Insurance
4919,Bihar,Small,High,Maize,Yes,Black,Medium,No,High,High,Farm Mechanization
4920,UP,Medium,High,Wheat,Yes,Loamy,Small,Yes,Low,High,KCC
4921,Punjab,Small,High,Soybean,Yes,Sandy,Medium,Yes,Low,Medium,KCC
4922,MH,Medium,Medium,Cotton,No,Clay,Large,No,Medium,High,PMFBY
4923,Punjab,Small,High,Rice,Yes,Loamy,Small,Yes,High,Medium,KCC
4924,UP,Small,Low,Cotton,Yes,Black,Marginal,Yes,High,High,Irrigation Subsidy
4925,Punjab,Medium,Medium,Cotton,No,Black,Medium,Yes,High,Medium,PMFBY
4926,MP,Small,Low,Maize,Yes,Sandy,Small,Yes,High,Medium,PM-Kisan
4927,MH,Large,High,Soybean,No,Sandy,Medium,Yes,High,Low,PMFBY
4928,MH,Large,Medium,Maize,Yes,Loamy,Medium,No,Low,High,Soil Health Card
4929,Punjab,Medium,High,Rice,Yes,Clay,Medium,Yes,Low,High,KCC
4930,MP,Medium,Low,Maize,No,Loamy,Small,Yes,Low,Medium,Crop Insurance
4931,MH,Small,Medium,Rice,Yes,Clay,Small,No,High,High,PMFBY
4932,MH,Large,High,Soybean,No,Loamy,Medium,No,Low,Low,PMFBY
4933,Punjab,Large,Low,Maize,Yes,Loamy,Marginal,Yes,High,High,Subsidy Scheme
4934,MP,Medium,Medium,Wheat,Yes,Black,Medium,Yes,High,Medium,KCC
4935,UP,Small,High,Soybean,No,Sandy,Large,No,Medium,High,Crop Insurance
4936,Punjab,Small,Low,Maize,Yes,Clay,Large,No,Low,High,PM-Kisan
4937,Bihar,Medium,High,Cotton,Yes,Loamy,Marginal,Yes,Low,Medium,KCC
4938,Punjab,Large,Low,Rice,No,Black,Small,No,High,High,PMFBY
4939,UP,Large,Low,Rice,No,Sandy,Marginal,Yes,Medium,Medium,PMFBY
4940,Bihar,Large,Medium,Rice,No,Sandy,Large,Yes,Low,Low,PMFBY
4941,Punjab,Small,Medium,Wheat,Yes,Loamy,Marginal,No,Medium,Low,Farmer Training
4942,MP,Small,High,Soybean,No,Loamy,Large,Yes,High,Medium,PMFBY
4943,MP,Small,Low,Soybean,Yes,Clay,Marginal,No,Low,Low,PM-Kisan
4944,Bihar,Small,High,Wheat,No,Clay,Large,Yes,High,Medium,PMFBY
4945,Punjab,Large,Low,Soybean,Yes,Loamy,Medium,Yes,Low,High,KCC
4946,Bihar,Small,Medium,Wheat,No,Black,Large,No,High,Low,PMFBY
4947,MH,Medium,Medium,Soybean,No,Black,Small,Yes,Medium,Medium,PMFBY
4948,MH,Medium,Low,Maize,No,Black,Medium,Yes,Low,Medium,PMFBY
4949,Punjab,Large,Low,Maize,Yes,Sandy,Medium,Yes,Medium,High,Subsidy Scheme
4950,MH,Small,Low,Soybean,No,Clay,Medium,Yes,High,High,PM-Kisan
4951,MH,Medium,High,Wheat,No,Sandy,Marginal,Yes,Medium,Medium,PMFBY
4952,MP,Small,Medium,Wheat,Yes,Sandy,Large,No,High,Low,Soil Health Card
4953,Bihar,Medium,Medium,Soybean,Yes,Sandy,Large,No,High,Medium,Organic Farming
4954,Bihar,Large,Medium,Rice,Yes,Clay,Medium,No,Medium,Low,Farm Mechanization
4955,UP,Large,Medium,Maize,No,Sandy,Marginal,Yes,High,Low,PMFBY
4956,MP,Small,Low,Soybean,Yes,Loamy,Medium,No,High,High,PM-Kisan
4957,MP,Small,Low,Wheat,Yes,Sandy,Marginal,Yes,High,High,PM-Kisan
4958,UP,Small,High,Cotton,Yes,Sandy,Marginal,Yes,Medium,High,KCC
4959,Punjab,Small,Medium,Cotton,Yes,Sandy,Large,Yes,Low,Low,Subsidy Scheme
4960,Punjab,Large,High,Cotton,Yes,Black,Small,Yes,Medium,Medium,KCC
4961,Bihar,Large,Low,Maize,No,Sandy,Small,No,Low,Medium,PMFBY
4962,MH,Small,Low,Wheat,Yes,Loamy,Large,Yes,Medium,Medium,Subsidy Scheme
4963,UP,Medium,High,Wheat,Yes,Loamy,Marginal,Yes,Low,Medium,KCC
4964,Punjab,Medium,High,Wheat,No,Sandy,Medium,Yes,Low,Medium,PMFBY
4965,MH,Small,Medium,Cotton,No,Sandy,Small,Yes,Medium,Low,PMFBY
4966,UP,Medium,Low,Soybean,Yes,Clay,Medium,No,High,Low,Farm Mechanization
4967,UP,Medium,Medium,Rice,Yes,Clay,Large,No,Low,Low,Farm Mechanization
4968,MP,Small,High,Maize,Yes,Loamy,Large,No,Low,Medium,Soil Health Card
